name,mni_x,mni_y,mni_z,col,region,area,region.area,FS
9  2ary Somatosensory Cortex,48,-35,25,9,9  2ary Somatosensory Cortex,Secondary cortex,Secondary Cortex,GM
"28 2ary Auditory, Wernicke (BA22p)",62,-35,8,28,"28 2ary Auditory, Wernicke (BA22p)",Secondary cortex,Secondary Cortex,GM
60 Superior Colliculus,2,-35,-6,60,60 Superior Colliculus,Midbrain,Midbrain,SubCtx
4  Anterior Superior Parietal (BA5/BA7a),33,-45,60,4,4  Anterior Superior Parietal (BA5/BA7a),Associative cortex,Associative Cortex,GM
5  Retrosplenial (BA29/30),6,-45,11,5,5  Retrosplenial (BA29/30),Limbic cortex,Limbic Cortex,GM
24 Cingulate Posterior (BA23p),2,-45,25,24,24 Cingulate Posterior (BA23p),Limbic cortex,Limbic Cortex,GM
31 Supramarginal Posterior (BA40p),44,-45,53,31,31 Supramarginal Posterior (BA40p),Associative cortex,Associative Cortex,GM
3  Posterior Superior Parietal (BA7p),30,-52,49,3,3  Posterior Superior Parietal (BA7p),Associative cortex,Associative Cortex,GM
6  Anterior Middle Temporal (BA37-aMT),58,-52,8,6,6  Anterior Middle Temporal (BA37-aMT),Secondary cortex,Secondary Cortex,GM
17 1ary Visual Anterior (BA17a),23,-52,-6,17,17 1ary Visual Anterior (BA17a),Primary cortex,Primary Cortex,GM
20 Posterior Fusiform (BA37m),37,-52,-20,20,20 Posterior Fusiform (BA37m),Secondary cortex,Secondary Cortex,GM
27 2ary/3ary Visual Anterior (BA18/19a),16,-52,4,27,27 2ary/3ary Visual Anterior (BA18/19a),Secondary cortex,Secondary Cortex,GM
29 Precuneus (BA7m),2,-52,46,29,29 Precuneus (BA7m),Associative cortex,Associative Cortex,GM
41 Angular (BA39),58,-52,18,41,41 Angular (BA39),Associative cortex,Associative Cortex,GM
10 2ary/3ary Visual Posterior (BA18/19p),16,-66,4,10,10 2ary/3ary Visual Posterior (BA18/19p),Secondary cortex,Secondary Cortex,GM
14 1ary Visual Posterior (BA17p),23,-66,-10,14,14 1ary Visual Posterior (BA17p),Primary cortex,Primary Cortex,GM
19 Posterior Middle Temporal (BA37-pMT),48,-70,0,19,19 Posterior Middle Temporal (BA37-pMT),Secondary cortex,Secondary Cortex,GM
